Scientific.Name,Longitude,Latitude,Country
Herklotsichthys quadrimaculatus,134.28161,7.28581,PW
Herklotsichthys quadrimaculatus,120.43911,22.46675,TW
Herklotsichthys quadrimaculatus,134.53533,7.99239,PW
Herklotsichthys quadrimaculatus,123.364654,9.948765,PH
Herklotsichthys quadrimaculatus,123.366316,9.956624,PH
Herklotsichthys quadrimaculatus,-156.444497,20.69135,US
Herklotsichthys quadrimaculatus,126.005,-8.496,TL
Herklotsichthys quadrimaculatus,125.535,-8.536,TL
Herklotsichthys quadrimaculatus,145.466667,-14.666667,AU
Herklotsichthys quadrimaculatus,-157.826843,21.47224,US
Herklotsichthys quadrimaculatus,-157.806036,21.255525,US
Herklotsichthys quadrimaculatus,121.42154,25.1639,TW
Herklotsichthys quadrimaculatus,121.444,25.15145,TW
Herklotsichthys quadrimaculatus,130.116667,31.413611,JP
Herklotsichthys quadrimaculatus,31.06,-29.87,ZA
Herklotsichthys quadrimaculatus,35.56,-22.84,MZ
Herklotsichthys quadrimaculatus,-156.988175,21.076425,US
Herklotsichthys quadrimaculatus,118.745,9.78327,PH
Herklotsichthys quadrimaculatus,127.842408,26.499797,JP
Herklotsichthys quadrimaculatus,167.01167,-22.31889,NC
Herklotsichthys quadrimaculatus,-157.846957,21.286426,US
Herklotsichthys quadrimaculatus,-157.789,21.4309,US
Herklotsichthys quadrimaculatus,40.38854,-22.40543,TF
Herklotsichthys quadrimaculatus,130.983333,30.433333,JP
Herklotsichthys quadrimaculatus,130.196944,31.428889,JP
Herklotsichthys quadrimaculatus,130.208889,31.418333,JP
Herklotsichthys quadrimaculatus,131.080278,31.291944,JP
Herklotsichthys quadrimaculatus,131.033333,31.2,JP
Herklotsichthys quadrimaculatus,131.071389,30.691389,JP
Herklotsichthys quadrimaculatus,109.1965,12.2144,VN
Herklotsichthys quadrimaculatus,54.375083,24.514417,AE
Herklotsichthys quadrimaculatus,35.5583,-22.8433,MZ
Herklotsichthys quadrimaculatus,55.77,-21.37,RE
Herklotsichthys quadrimaculatus,39.064,-5.217,TZ
Herklotsichthys quadrimaculatus,-157.806,21.4372,US
Herklotsichthys quadrimaculatus,128.960278,27.863889,JP
Herklotsichthys quadrimaculatus,128.405278,27.049167,JP
Herklotsichthys quadrimaculatus,142.194722,27.06,JP
Herklotsichthys quadrimaculatus,129.466667,28.466667,JP
Herklotsichthys quadrimaculatus,127.633333,26.2,JP
Herklotsichthys quadrimaculatus,38.156,-17.294,MZ
Herklotsichthys quadrimaculatus,36.944,-17.971,MZ
Herklotsichthys quadrimaculatus,38.575,-17.116,MZ
Herklotsichthys quadrimaculatus,145.461164,-14.680152,AU
Herklotsichthys quadrimaculatus,145.451767,-14.666545,AU
Herklotsichthys quadrimaculatus,-157.134705,21.074249,US
Herklotsichthys quadrimaculatus,-157.013855,20.822875,US
Herklotsichthys quadrimaculatus,-157.62908,21.297052,US
Herklotsichthys quadrimaculatus,35.45493,-21.48439,MZ
Herklotsichthys quadrimaculatus,120.674,22.0595,TW
Herklotsichthys quadrimaculatus,173.82035,0.383467,KI
Herklotsichthys quadrimaculatus,131.005833,30.551667,JP
Herklotsichthys quadrimaculatus,123,11,PH
Herklotsichthys quadrimaculatus,127.966667,26.583333,JP
Herklotsichthys quadrimaculatus,130.949722,30.628056,JP
Herklotsichthys quadrimaculatus,127.672222,26.251389,JP
Herklotsichthys quadrimaculatus,130.980556,30.424722,JP
Herklotsichthys quadrimaculatus,129.293056,28.181389,JP
Herklotsichthys quadrimaculatus,128.1,26.533333,JP
Herklotsichthys quadrimaculatus,128.418611,27.029167,JP
Herklotsichthys quadrimaculatus,130.671667,31.277222,JP
Herklotsichthys quadrimaculatus,130.196945,31.428889,JP
Herklotsichthys quadrimaculatus,128.41,27.01,JP
Herklotsichthys quadrimaculatus,128.41,27.05,JP
Herklotsichthys quadrimaculatus,128.3988,27.0328,JP
Herklotsichthys quadrimaculatus,178.983142,-17.579267,FJ
Herklotsichthys quadrimaculatus,116.483,-8.8,ID
Herklotsichthys quadrimaculatus,35.558,-22.843,MZ
Herklotsichthys quadrimaculatus,121.73,12.9339,PH
Herklotsichthys quadrimaculatus,145.988,-16.9312,AU
Herklotsichthys quadrimaculatus,31.009,-29.8675,ZA
Herklotsichthys quadrimaculatus,39.59745,-4.272333,KE
Herklotsichthys quadrimaculatus,35.558333,-22.843333,MZ
Herklotsichthys quadrimaculatus,40.682769,-11.890694,MZ
Herklotsichthys quadrimaculatus,40.03945,-3.3745,KE
Herklotsichthys quadrimaculatus,31.056667,-29.87,ZA
Herklotsichthys quadrimaculatus,30.833334,-30.133333,ZA
Herklotsichthys quadrimaculatus,39.705276,-16.533333,MZ
Herklotsichthys quadrimaculatus,39.120967,-5.314917,TZ
Herklotsichthys quadrimaculatus,134.623056,7.385722,PW
Herklotsichthys quadrimaculatus,143.412,-9.751,AU
Herklotsichthys quadrimaculatus,120.71,22.09,TW
Herklotsichthys quadrimaculatus,139.6,-17.116667,AU
Herklotsichthys quadrimaculatus,139.883333,-16.65,AU
